# Gene Family	CSM5MCV1_P_Abundance-RPKs
UNMAPPED	0.121766
UniRef90_A0A078SPQ9	0.0176135
UniRef90_W1I8Q3	0.00245193
UniRef90_A0A174Q9G9	0.00235457
UniRef90_Q45122	0.00187718
UniRef90_A0A3A4MBL4	0.00175693
UniRef90_T4BXP0	0.00175159
UniRef90_E4W393	0.00165988
UniRef90_T4BVE4	0.00155743
UniRef90_A0A395VRV3	0.00146747
UniRef90_UPI00058A2391	0.00142818
UniRef90_K7ZQ45	0.00140525
UniRef90_E2N7L9	0.00132791
UniRef90_A0A174QBF2	0.00126801
UniRef90_A0A0E2SN01	0.00125321
UniRef90_UPI00092E59B0	0.00115928
UniRef90_W1I7H1	0.00112431
UniRef90_T4BTB7	0.0010641
UniRef90_I9TSD3	0.00105876
UniRef90_A0A291UTI9	0.00103606
UniRef90_C3R499	0.00103306
UniRef90_I9QXW8	0.000983048
UniRef90_F0R9D1	0.000957768
UniRef90_P37247	0.000916583
UniRef90_X2EXI9	0.000898246
UniRef90_A0A332BTK1	0.000866382
UniRef90_C3RGS1	0.000795956
UniRef90_W1I873	0.000792539
UniRef90_A0A081UIC5	0.000733546
UniRef90_A0A3E5DKV8	0.000716058
UniRef90_E2N7L5	0.000707162
UniRef90_W6PL08	0.000702406
UniRef90_Q45797	0.000695734
UniRef90_UPI0003EF2C22	0.000692144
UniRef90_I6TD50	0.000685243
UniRef90_D0TK99	0.00067828
UniRef90_G1UL42	0.000619946
UniRef90_UPI000E3527B9	0.000600007
UniRef90_S1QBV8	0.000585286
UniRef90_E2N7L4	0.000577098
UniRef90_A0A174V1A4	0.00056814
UniRef90_A0A0G3KDA5	0.000556642
UniRef90_T4BTZ3	0.000546397
UniRef90_T4C1L2	0.000540758
UniRef90_UPI000DE9F3AF	0.000527263
UniRef90_C3RGQ4	0.000496389
UniRef90_A7UXY6	0.000490872
UniRef90_R9R0N7	0.00049058
UniRef90_I9R963	0.000486739
UniRef90_A0A399A5E9	0.000482159
UniRef90_G1UL81	0.000477992
UniRef90_A5ZLI4	0.000472844
UniRef90_E6S5X2	0.000458492
UniRef90_A7V4G2	0.000456465
UniRef90_A0A0K9CPZ3	0.000445384
UniRef90_I9R5B3	0.000442374
UniRef90_A0A3F3M239	0.000433139
UniRef90_A7ZUE2	0.000432512
