# Pathway	CSM5MCV1_P_Abundance
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	0.272857
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	0.20577
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	0.075098
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	0.0717286
UNINTEGRATED|unclassified	0.0268219
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	0.0164054
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	0.0112488
UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_ulcerans	0.0102754
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0.00318402
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	0.00207446
UNINTEGRATED|g__Klebsiella.s__Klebsiella_variicola	0.00113484
UNINTEGRATED|g__Klebsiella.s__Klebsiella_quasipneumoniae	0.000837141
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_dorei	0.000316593
PWY-1042: glycolysis IV|g__Escherichia.s__Escherichia_coli	0.000130608
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_caccae	5.1756e-05
PWY-1042: glycolysis IV|g__Fusobacterium.s__Fusobacterium_ulcerans	2.00325e-05
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_gnavus	1.5883e-05
PWY-1042: glycolysis IV|g__Klebsiella.s__Klebsiella_pneumoniae	9.27567e-06
PWY-1042: glycolysis IV|unclassified	4.05969e-06
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	2.97861e-06
PWY-1042: glycolysis IV|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.10247e-06
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	0.000319251
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_dorei	0.000147197
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Klebsiella.s__Klebsiella_pneumoniae	3.80569e-05
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	1.38086e-05
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	1.20585e-05
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	4.68257e-06
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Klebsiella.s__Klebsiella_quasipneumoniae	1.29676e-07
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	0.000175872
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_caccae	5.89179e-05
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Klebsiella.s__Klebsiella_pneumoniae	1.6715e-05
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis	1.43784e-05
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Ruminococcus_gnavus	1.42389e-05
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	4.17643e-06
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Escherichia.s__Escherichia_coli	0.000227162
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_dorei	0.0001937
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_caccae	4.8408e-05
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Klebsiella.s__Klebsiella_pneumoniae	1.6715e-05
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Blautia.s__Ruminococcus_gnavus	1.64006e-05
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_uniformis	1.39494e-05
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	8.73539e-06
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Dorea.s__Dorea_longicatena	3.25546e-06
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	3.20778e-06
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Klebsiella.s__Klebsiella_quasipneumoniae	1.00994e-07
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_dorei	0.0001937
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli	0.000175872
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_caccae	5.89179e-05
VALSYN-PWY: L-valine biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	1.6715e-05
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	1.43784e-05
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Ruminococcus_gnavus	1.42389e-05
VALSYN-PWY: L-valine biosynthesis|unclassified	6.12788e-06
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	4.17643e-06
VALSYN-PWY: L-valine biosynthesis|g__Dorea.s__Dorea_longicatena	2.26107e-06
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_dorei	0.00031705
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0.000144818
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	1.89707e-05
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_gnavus	1.35957e-05
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	1.12138e-05
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Fusobacterium.s__Fusobacterium_ulcerans	8.10183e-06
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	3.64869e-06
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_dorei	0.000218428
PWY-5695: inosine 5'-phosphate degradation|g__Escherichia.s__Escherichia_coli	0.000152258
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_caccae	4.22846e-05
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_uniformis	1.67596e-05
